"id","created_at","name","has_test","alternate_url"
"69216429","2022-09-01T15:58:32+0300","Data Scientist (NLP, СV)",false,"https://hh.ru/vacancy/69216429"
"68620322","2022-08-30T16:55:49+0300","Junior Data Scientist (NLP)",false,"https://hh.ru/vacancy/68620322"
"69175957","2022-08-31T13:51:57+0300","Data Scientist",false,"https://hh.ru/vacancy/69175957"
"69213847","2022-09-01T15:02:11+0300","Аналитик данных / Data scientist",false,"https://hh.ru/vacancy/69213847"
"69176875","2022-08-31T14:10:44+0300","Аналитик данных (data analyst/data scientist)",false,"https://hh.ru/vacancy/69176875"
"69374505","2022-09-01T12:44:42+0300","Middle+ Data scientist / ML разработчик.",false,"https://hh.ru/vacancy/69374505"
"68620702","2022-08-30T17:05:05+0300","Data Scientist / ML Engineer",false,"https://hh.ru/vacancy/68620702"
"68981446","2022-08-31T20:16:57+0300","Data Scientist (Computer Vision) - Junior",false,"https://hh.ru/vacancy/68981446"
"68979451","2022-08-31T17:55:34+0300","Data Scientist",false,"https://hh.ru/vacancy/68979451"
"69383038","2022-09-01T15:26:10+0300","Программист Python/Data Scientist (junior / middle)",false,"https://hh.ru/vacancy/69383038"
"69388131","2022-09-01T17:08:46+0300","Junior data scientist",false,"https://hh.ru/vacancy/69388131"
"69305852","2022-08-30T14:33:29+0300","Junior HFT Quant Trader / Data Scientist Orion Systematic AG",true,"https://hh.ru/vacancy/69305852"
"69320030","2022-08-31T05:51:46+0300","Data Scientist",false,"https://hh.ru/vacancy/69320030"
"69285439","2022-08-30T08:50:29+0300","Data Scientist",false,"https://hh.ru/vacancy/69285439"
"69353792","2022-08-31T18:13:17+0300","Data scientist (SberData)",false,"https://hh.ru/vacancy/69353792"
"69372888","2022-09-01T12:15:16+0300","Data Scientist",false,"https://hh.ru/vacancy/69372888"
"68075215","2022-08-29T18:28:24+0300","Аналитик / Data scientist",false,"https://hh.ru/vacancy/68075215"
"67366123","2022-08-31T15:10:49+0300","Senior Data Scientist",false,"https://hh.ru/vacancy/67366123"
"69377908","2022-09-01T13:40:17+0300","Senior Data Scientist",false,"https://hh.ru/vacancy/69377908"
"68617323","2022-08-30T15:51:47+0300","Senior Data Scientist/ ML Engineer",false,"https://hh.ru/vacancy/68617323"
